Time,ECG,is_rpeak
2025-05-22T17:02:07.284Z,-0.040000,false
2025-05-22T17:02:07.287Z,-0.140000,false
2025-05-22T17:02:07.291Z,-0.210000,false
2025-05-22T17:02:07.295Z,-0.230000,false
2025-05-22T17:02:07.299Z,-0.230000,false
2025-05-22T17:02:07.302Z,-0.240000,false
2025-05-22T17:02:07.306Z,-0.260000,false
2025-05-22T17:02:07.310Z,-0.280000,false
2025-05-22T17:02:07.314Z,-0.300000,false
2025-05-22T17:02:07.317Z,-0.330000,false
2025-05-22T17:02:07.321Z,-0.350000,false
2025-05-22T17:02:07.325Z,-0.380000,false
2025-05-22T17:02:07.329Z,-0.410000,false
2025-05-22T17:02:07.332Z,-0.430000,false
2025-05-22T17:02:07.336Z,-0.440000,false
2025-05-22T17:02:07.340Z,-0.440000,false
2025-05-22T17:02:07.344Z,-0.440000,false
2025-05-22T17:02:07.347Z,-0.440000,false
2025-05-22T17:02:07.351Z,-0.430000,false
2025-05-22T17:02:07.355Z,-0.420000,false
2025-05-22T17:02:07.359Z,-0.410000,false
2025-05-22T17:02:07.362Z,-0.400000,false
2025-05-22T17:02:07.366Z,-0.390000,false
2025-05-22T17:02:07.370Z,-0.380000,false
2025-05-22T17:02:07.374Z,-0.370000,false
2025-05-22T17:02:07.377Z,-0.360000,false
2025-05-22T17:02:07.381Z,-0.360000,false
2025-05-22T17:02:07.385Z,-0.350000,false
2025-05-22T17:02:07.389Z,-0.310000,false
2025-05-22T17:02:07.392Z,-0.230000,false
2025-05-22T17:02:07.396Z,-0.080000,false
2025-05-22T17:02:07.400Z,0.140000,false
2025-05-22T17:02:07.404Z,0.430000,false
2025-05-22T17:02:07.407Z,0.780000,false
2025-05-22T17:02:07.411Z,1.170000,false
2025-05-22T17:02:07.415Z,1.570000,false
2025-05-22T17:02:07.419Z,1.900000,false
2025-05-22T17:02:07.422Z,2.010000,true
2025-05-22T17:02:07.426Z,1.820000,false
2025-05-22T17:02:07.430Z,1.360000,false
2025-05-22T17:02:07.434Z,0.780000,false
2025-05-22T17:02:07.437Z,0.200000,false
2025-05-22T17:02:07.441Z,-0.260000,false
2025-05-22T17:02:07.445Z,-0.590000,false
